student_id,behavioral_cluster,target_academic_impact,avg_daily_usage_hours,sleep_hours_per_night,mental_health_score,addicted_score,conflicts_over_social_media,most_used_platform,gender,intervention_plan
1,3,1,5.2,6.5,6,8,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
5,3,1,4.5,6.0,6,7,2,Facebook,Male,Mental Health Counseling & Stress Mgmt
8,3,1,5.8,6.0,6,8,2,Snapchat,Female,Mental Health Counseling & Stress Mgmt
12,3,1,5.5,5.8,6,8,2,TikTok,Female,Mental Health Counseling & Stress Mgmt
16,3,1,4.2,6.0,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
18,3,1,5.0,5.7,5,8,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
20,3,1,4.7,5.9,6,7,3,Snapchat,Female,Mental Health Counseling & Stress Mgmt
23,3,1,4.9,5.8,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
28,3,1,4.4,5.9,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
32,3,1,4.8,5.7,6,7,3,Snapchat,Female,Mental Health Counseling & Stress Mgmt
35,3,1,4.7,5.8,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
40,3,1,4.5,5.8,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
44,3,1,4.6,5.7,6,7,3,Snapchat,Female,Mental Health Counseling & Stress Mgmt
47,3,1,4.8,5.9,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
52,3,1,4.7,5.8,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
56,3,1,4.9,5.6,6,7,3,Snapchat,Female,Mental Health Counseling & Stress Mgmt
59,3,1,4.6,5.9,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
63,3,1,4.2,6.0,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
66,3,1,4.8,5.8,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
70,3,1,4.5,5.9,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
73,3,1,4.9,5.7,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
76,3,1,4.6,5.8,6,7,3,Snapchat,Female,Mental Health Counseling & Stress Mgmt
79,3,1,4.7,5.9,6,7,3,YouTube,Male,Mental Health Counseling & Stress Mgmt
82,3,1,4.8,5.7,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
86,3,1,4.5,5.8,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
89,3,1,4.4,6.0,6,7,3,YouTube,Male,Mental Health Counseling & Stress Mgmt
92,3,1,4.7,5.8,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
96,3,1,4.9,5.7,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
99,3,1,4.6,5.9,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
103,3,1,4.7,5.8,6,7,3,Facebook,Male,Mental Health Counseling & Stress Mgmt
106,3,1,4.8,5.7,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
110,3,1,4.9,5.8,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
112,3,1,5.8,5.9,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
115,3,1,5.2,6.3,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
118,3,1,5.7,6.1,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
121,3,1,5.9,5.9,6,7,3,Facebook,Male,Mental Health Counseling & Stress Mgmt
124,3,1,5.8,5.8,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
127,3,1,5.7,5.7,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
130,3,1,5.6,5.6,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
133,3,1,5.5,5.5,6,7,3,Facebook,Male,Mental Health Counseling & Stress Mgmt
136,3,1,5.4,5.4,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
139,3,1,5.3,5.3,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
142,3,1,5.2,5.2,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
145,3,1,5.1,5.1,6,7,3,Facebook,Male,Mental Health Counseling & Stress Mgmt
148,3,1,5.0,5.0,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
151,3,1,4.9,4.9,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
154,3,1,4.8,4.8,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
157,3,1,4.7,4.7,6,7,3,Facebook,Male,Mental Health Counseling & Stress Mgmt
160,3,1,4.6,4.6,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
163,3,1,5.5,5.9,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
